Location,Ant_ID,Ant_ID_(partner),start_time,end_time,,,,,,,,,,,,,,,,,,,,,
1,605,424,3157,3210,,,,,,,,,,,,,,,,,,,,,
1,424,605,3157,3210,,,,,,,,,,,,,,,,,,,,,
1,66,489,3169,3184,,,,,,,,,,,,,,,,,,,,,
1,489,66,3169,3184,,,,,,,,,,,,,,,,,,,,,
1,560,425,3173,3190,,,,,,,,,,,,,,,,,,,,,
1,425,560,3173,3190,,,,,,,,,,,,,,,,,,,,,
1,489,66,3195,3206,,,,,,,,,,,,,,,,,,,,,
1,66,489,3195,3206,,,,,,,,,,,,,,,,,,,,,
1,666,529,3204,3215,,,,,,,,,,,,,,,,,,,,,
1,529,666,3204,3215,,,,,,,,,,,,,,,,,,,,,
1,599,418,3207,3212,,,,,,,,,,,,,,,,,,,,,
1,418,599,3207,3212,,,,,,,,,,,,,,,,,,,,,
1,666,529,3227,3274,,,,,,,,,,,,,,,,,,,,,
1,529,666,3227,3274,,,,,,,,,,,,,,,,,,,,,
1,532,538,3235,3247,,,,,,,,,,,,,,,,,,,,,
1,538,532,3235,3247,,,,,,,,,,,,,,,,,,,,,
1,424,793,3236,3242,,,,,,,,,,,,,,,,,,,,,
1,793,424,3236,3242,,,,,,,,,,,,,,,,,,,,,
1,698,793,3250,3259,,,,,,,,,,,,,,,,,,,,,
1,793,698,3250,3259,,,,,,,,,,,,,,,,,,,,,
1,539,463,3252,3277,,,,,,,,,,,,,,,,,,,,,
1,463,539,3252,3277,,,,,,,,,,,,,,,,,,,,,
1,423,449,3253,3334,,,,,,,,,,,,,,,,,,,,,
1,449,423,3253,3334,,,,,,,,,,,,,,,,,,,,,
1,732,529,3275,3313,,,,,,,,,,,,,,,,,,,,,
1,529,732,3275,3313,,,,,,,,,,,,,,,,,,,,,
1,14,538,3279,3518,,,,,,,,,,,,,,,,,,,,,
1,538,14,3279,3518,,,,,,,,,,,,,,,,,,,,,
1,424,793,3281,3298,,,,,,,,,,,,,,,,,,,,,
1,793,424,3281,3298,,,,,,,,,,,,,,,,,,,,,
1,560,453,3319,3380,,,,,,,,,,,,,,,,,,,,,
1,453,560,3319,3380,,,,,,,,,,,,,,,,,,,,,
1,793,754,3335,3339,,,,,,,,,,,,,,,,,,,,,
1,754,793,3335,3339,,,,,,,,,,,,,,,,,,,,,
1,657,793,3345,3363,,,,,,,,,,,,,,,,,,,,,
1,793,657,3345,3363,,,,,,,,,,,,,,,,,,,,,
