Location,Ant_ID,Ant_ID_(partner),start_time,end_time,,,,,,,,,,,,,,,,,,
1,732,32,9701,9706,,,,,,,,,,,,,,,,,,
1,425,q,9705,9727,,,,,,,,,,,,,,,,,,
1,q,425,9705,9727,,,,,,,,,,,,,,,,,,
1,448,732,9712,9722,,,,,,,,,,,,,,,,,,
1,732,448,9712,9722,,,,,,,,,,,,,,,,,,
1,538,823,9729,9735,,,,,,,,,,,,,,,,,,
1,823,538,9729,9735,,,,,,,,,,,,,,,,,,
1,47,108,9729,9748,,,,,,,,,,,,,,,,,,
1,108,47,9729,9748,,,,,,,,,,,,,,,,,,
1,397,732,9753,9890,,,,,,,,,,,,,,,,,,
1,732,397,9753,9890,,,,,,,,,,,,,,,,,,
1,459,32,9772,9778,,,,,,,,,,,,,,,,,,
1,32,459,9772,9778,,,,,,,,,,,,,,,,,,
1,q,560,9772,9799,,,,,,,,,,,,,,,,,,
1,560,q,9772,9799,,,,,,,,,,,,,,,,,,
1,q,560,9816,9837,,,,,,,,,,,,,,,,,,
1,560,q,9816,9837,,,,,,,,,,,,,,,,,,
1,604,666,9820,9834,,,,,,,,,,,,,,,,,,
1,666,604,9820,9834,,,,,,,,,,,,,,,,,,
1,729,108,9827,9844,,,,,,,,,,,,,,,,,,
1,108,729,9827,9844,,,,,,,,,,,,,,,,,,
1,463,32,9841,9887,,,,,,,,,,,,,,,,,,
1,32,463,9841,9887,,,,,,,,,,,,,,,,,,
1,604,599,9853,9883,,,,,,,,,,,,,,,,,,
1,599,604,9853,9883,,,,,,,,,,,,,,,,,,
1,q,452,9863,9885,,,,,,,,,,,,,,,,,,
1,452,q,9863,9885,,,,,,,,,,,,,,,,,,
1,407,532,9894,9896,,,,,,,,,,,,,,,,,,
1,532,407,9894,9896,,,,,,,,,,,,,,,,,,
1,47,728,9914,9938,,,,,,,,,,,,,,,,,,
1,728,47,9914,9938,,,,,,,,,,,,,,,,,,
1,q,666,9939,9982,,,,,,,,,,,,,,,,,,
1,666,q,9939,9982,,,,,,,,,,,,,,,,,,
1,q,66,10017,10047,,,,,,,,,,,,,,,,,,
1,66,q,10017,10047,,,,,,,,,,,,,,,,,,
1,32,732,10023,10036,,,,,,,,,,,,,,,,,,
1,732,32,10023,10036,,,,,,,,,,,,,,,,,,
1,463,486,10028,10137,,,,,,,,,,,,,,,,,,
1,486,463,10028,10137,,,,,,,,,,,,,,,,,,
1,425,397,10031,10038,,,,,,,,,,,,,,,,,,
1,397,425,10031,10038,,,,,,,,,,,,,,,,,,
1,449,32,10047,10050,,,,,,,,,,,,,,,,,,
1,32,449,10047,10050,,,,,,,,,,,,,,,,,,
1,425,397,10063,10069,,,,,,,,,,,,,,,,,,
1,397,425,10063,10069,,,,,,,,,,,,,,,,,,
1,449,732,10067,10117,,,,,,,,,,,,,,,,,,
1,732,449,10067,10117,,,,,,,,,,,,,,,,,,
1,765,823,10152,10159,,,,,,,,,,,,,,,,,,
1,823,765,10152,10159,,,,,,,,,,,,,,,,,,
1,q,666,10159,10341,,,,,,,,,,,,,,,,,,
1,666,q,10159,10341,,,,,,,,,,,,,,,,,,
1,823,32,10171,10180,,,,,,,,,,,,,,,,,,
1,32,823,10171,10180,,,,,,,,,,,,,,,,,,
1,765,463,10179,10182,,,,,,,,,,,,,,,,,,
1,463,765,10179,10182,,,,,,,,,,,,,,,,,,
1,765,463,10189,10199,,,,,,,,,,,,,,,,,,
1,463,765,10189,10199,,,,,,,,,,,,,,,,,,
1,486,32,10205,10216,,,,,,,,,,,,,,,,,,
1,32,486,10205,10216,,,,,,,,,,,,,,,,,,
1,33,728,10232,10253,,,,,,,,,,,,,,,,,,
1,728,33,10232,10253,,,,,,,,,,,,,,,,,,
1,425,32,10240,10253,,,,,,,,,,,,,,,,,,
1,32,425,10240,10253,,,,,,,,,,,,,,,,,,
1,463,732,10272,10390,,,,,,,,,,,,,,,,,,
1,732,463,10272,10390,,,,,,,,,,,,,,,,,,
1,419,32,10280,10285,,,,,,,,,,,,,,,,,,
1,32,419,10280,10285,,,,,,,,,,,,,,,,,,
1,765,538,10311,10323,,,,,,,,,,,,,,,,,,
1,538,765,10311,10323,,,,,,,,,,,,,,,,,,
1,604,728,10318,10325,,,,,,,,,,,,,,,,,,
1,728,604,10318,10325,,,,,,,,,,,,,,,,,,
1,560,36,10332,10336,,,,,,,,,,,,,,,,,,
1,36,560,10332,10336,,,,,,,,,,,,,,,,,,
1,604,66,10341,10357,,,,,,,,,,,,,,,,,,
1,66,604,10341,10357,,,,,,,,,,,,,,,,,,
1,765,560,10350,10361,,,,,,,,,,,,,,,,,,
1,560,765,10350,10361,,,,,,,,,,,,,,,,,,
1,397,419,10371,10425,,,,,,,,,,,,,,,,,,
1,419,397,10371,10425,,,,,,,,,,,,,,,,,,
1,486,449,10375,10425,,,,,,,,,,,,,,,,,,
1,449,486,10375,10425,,,,,,,,,,,,,,,,,,
1,452,666,10387,10500,,,,,,,,,,,,,,,,,,
1,666,452,10387,10500,,,,,,,,,,,,,,,,,,
1,q,4,10435,10446,,,,,,,,,,,,,,,,,,
1,4,q,10435,10446,,,,,,,,,,,,,,,,,,
1,599,32,10456,10461,,,,,,,,,,,,,,,,,,
1,32,599,10456,10461,,,,,,,,,,,,,,,,,,
1,604,108,10458,10464,,,,,,,,,,,,,,,,,,
1,108,604,10458,10464,,,,,,,,,,,,,,,,,,
1,486,449,10460,10637,,,,,,,,,,,,,,,,,,
1,449,486,10460,10637,,,,,,,,,,,,,,,,,,
1,q,36,10463,10475,,,,,,,,,,,,,,,,,,
1,36,q,10463,10475,,,,,,,,,,,,,,,,,,
1,728,32,10480,10491,,,,,,,,,,,,,,,,,,
1,32,728,10480,10491,,,,,,,,,,,,,,,,,,
1,765,419,10481,10540,,,,,,,,,,,,,,,,,,
1,419,765,10481,10540,,,,,,,,,,,,,,,,,,
1,604,489,10522,10529,,,,,,,,,,,,,,,,,,
1,489,604,10522,10529,,,,,,,,,,,,,,,,,,
1,452,666,10525,10606,,,,,,,,,,,,,,,,,,
1,666,452,10525,10606,,,,,,,,,,,,,,,,,,
1,1,489,10546,10598,,,,,,,,,,,,,,,,,,
1,489,1,10546,10598,,,,,,,,,,,,,,,,,,
1,1,489,10602,10646,,,,,,,,,,,,,,,,,,
1,489,1,10602,10646,,,,,,,,,,,,,,,,,,
1,36,q,10609,10613,,,,,,,,,,,,,,,,,,
1,q,36,10609,10613,,,,,,,,,,,,,,,,,,
1,538,765,10633,10721,,,,,,,,,,,,,,,,,,
1,765,538,10633,10721,,,,,,,,,,,,,,,,,,
1,463,560,10634,10775,,,,,,,,,,,,,,,,,,
1,560,463,10634,10775,,,,,,,,,,,,,,,,,,
1,425,q,10636,10655,,,,,,,,,,,,,,,,,,
1,q,425,10636,10655,,,,,,,,,,,,,,,,,,
1,1,489,10649,10685,,,,,,,,,,,,,,,,,,
1,489,1,10649,10685,,,,,,,,,,,,,,,,,,
1,489,666,10709,10713,,,,,,,,,,,,,,,,,,
1,666,489,10709,10713,,,,,,,,,,,,,,,,,,
1,732,823,10734,10737,,,,,,,,,,,,,,,,,,
1,823,732,10734,10737,,,,,,,,,,,,,,,,,,
1,595,728,10739,10748,,,,,,,,,,,,,,,,,,
1,728,595,10739,10748,,,,,,,,,,,,,,,,,,
1,732,823,10746,10800,,,,,,,,,,,,,,,,,,
1,823,732,10746,10800,,,,,,,,,,,,,,,,,,
1,108,q,10773,10798,,,,,,,,,,,,,,,,,,
1,q,108,10773,10798,,,,,,,,,,,,,,,,,,
1,47,463,10795,10801,,,,,,,,,,,,,,,,,,
1,463,47,10795,10801,,,,,,,,,,,,,,,,,,
1,732,823,10800,10812,,,,,,,,,,,,,,,,,,
1,823,732,10800,10812,,,,,,,,,,,,,,,,,,
1,666,q,10824,10897,,,,,,,,,,,,,,,,,,
1,q,666,10824,10897,,,,,,,,,,,,,,,,,,
1,66,108,10844,10899,,,,,,,,,,,,,,,,,,
1,108,66,10844,10899,,,,,,,,,,,,,,,,,,
1,32,823,10917,10924,,,,,,,,,,,,,,,,,,
1,823,32,10917,10924,,,,,,,,,,,,,,,,,,
1,36,q,10976,10992,,,,,,,,,,,,,,,,,,
1,q,36,10976,10992,,,,,,,,,,,,,,,,,,
1,419,823,10983,10985,,,,,,,,,,,,,,,,,,
1,823,419,10983,10985,,,,,,,,,,,,,,,,,,
1,765,823,10993,11007,,,,,,,,,,,,,,,,,,
1,823,765,10993,11007,,,,,,,,,,,,,,,,,,
1,575,q,11014,11040,,,,,,,,,,,,,,,,,,
1,q,575,11014,11040,,,,,,,,,,,,,,,,,,
1,538,765,11019,11023,,,,,,,,,,,,,,,,,,
1,765,538,11019,11023,,,,,,,,,,,,,,,,,,
1,66,407,11041,11340,,,,,,,,,,,,,,,,,,
1,407,66,11041,11340,,,,,,,,,,,,,,,,,,
1,489,604,11065,11082,,,,,,,,,,,,,,,,,,
1,604,489,11065,11082,,,,,,,,,,,,,,,,,,
1,4,q,11066,11090,,,,,,,,,,,,,,,,,,
1,q,4,11066,11090,,,,,,,,,,,,,,,,,,
1,489,452,11083,11085,,,,,,,,,,,,,,,,,,
1,452,489,11083,11085,,,,,,,,,,,,,,,,,,
1,489,452,11095,11102,,,,,,,,,,,,,,,,,,
1,452,489,11095,11102,,,,,,,,,,,,,,,,,,
1,1,33,11097,11428,,,,,,,,,,,,,,,,,,
