Location,Ant_ID,Ant_ID_(partner),start_time,end_time,,,,,,,,,,,,,,,,,,,,,
1,699,199,6417,6452,,,,,,,,,,,,,,,,,,,,,
1,199,699,6417,6452,,,,,,,,,,,,,,,,,,,,,
1,195,q,6418,6439,,,,,,,,,,,,,,,,,,,,,
1,q,195,6418,6439,,,,,,,,,,,,,,,,,,,,,
1,195,295,6497,6586,,,,,,,,,,,,,,,,,,,,,
1,295,195,6497,6586,,,,,,,,,,,,,,,,,,,,,
1,43,199,6530,6539,,,,,,,,,,,,,,,,,,,,,
1,199,43,6530,6539,,,,,,,,,,,,,,,,,,,,,
1,637,174,6594,6619,,,,,,,,,,,,,,,,,,,,,
1,174,637,6594,6619,,,,,,,,,,,,,,,,,,,,,
1,448,353,6637,6722,,,,,,,,,,,,,,,,,,,,,
1,353,448,6637,6722,,,,,,,,,,,,,,,,,,,,,
1,561,77,6650,6719,,,,,,,,,,,,,,,,,,,,,
1,77,561,6650,6719,,,,,,,,,,,,,,,,,,,,,
1,428,199,6655,6736,,,,,,,,,,,,,,,,,,,,,
1,199,428,6655,6736,,,,,,,,,,,,,,,,,,,,,
1,262,q,6656,6672,,,,,,,,,,,,,,,,,,,,,
1,q,262,6656,6672,,,,,,,,,,,,,,,,,,,,,
1,428,76,6674,6692,,,,,,,,,,,,,,,,,,,,,
1,76,428,6674,6692,,,,,,,,,,,,,,,,,,,,,
1,76,199,6674,6692,,,,,,,,,,,,,,,,,,,,,
1,199,76,6674,6692,,,,,,,,,,,,,,,,,,,,,
1,174,324,6684,6764,,,,,,,,,,,,,,,,,,,,,
1,324,174,6684,6764,,,,,,,,,,,,,,,,,,,,,
1,428,76,6706,6734,,,,,,,,,,,,,,,,,,,,,
1,76,428,6706,6734,,,,,,,,,,,,,,,,,,,,,
1,76,199,6706,6734,,,,,,,,,,,,,,,,,,,,,
1,199,76,6706,6734,,,,,,,,,,,,,,,,,,,,,
1,448,353,6724,6726,,,,,,,,,,,,,,,,,,,,,
1,353,448,6724,6726,,,,,,,,,,,,,,,,,,,,,
1,76,199,6737,6817,,,,,,,,,,,,,,,,,,,,,
1,199,76,6737,6817,,,,,,,,,,,,,,,,,,,,,
1,43,598,6786,6830,,,,,,,,,,,,,,,,,,,,,
1,598,43,6786,6830,,,,,,,,,,,,,,,,,,,,,
1,33,161,6844,7057,,,,,,,,,,,,,,,,,,,,,
1,161,33,6844,7057,,,,,,,,,,,,,,,,,,,,,
1,262,353,6869,6882,,,,,,,,,,,,,,,,,,,,,
1,353,262,6869,6882,,,,,,,,,,,,,,,,,,,,,
1,194,291,6870,6878,,,,,,,,,,,,,,,,,,,,,
1,291,194,6870,6878,,,,,,,,,,,,,,,,,,,,,
1,1,819,6872,7105,,,,,,,,,,,,,,,,,,,,,
1,819,1,6872,7105,,,,,,,,,,,,,,,,,,,,,
1,43,598,6877,7143,,,,,,,,,,,,,,,,,,,,,
1,598,43,6877,7143,,,,,,,,,,,,,,,,,,,,,
1,797,76,6880,6901,,,,,,,,,,,,,,,,,,,,,
1,76,797,6880,6901,,,,,,,,,,,,,,,,,,,,,
1,539,199,6888,6920,,,,,,,,,,,,,,,,,,,,,
1,199,539,6888,6920,,,,,,,,,,,,,,,,,,,,,
1,797,76,6906,6916,,,,,,,,,,,,,,,,,,,,,
1,76,797,6906,6916,,,,,,,,,,,,,,,,,,,,,
1,797,76,6919,6997,,,,,,,,,,,,,,,,,,,,,
1,76,797,6919,6997,,,,,,,,,,,,,,,,,,,,,
1,600,262,6923,6945,,,,,,,,,,,,,,,,,,,,,
1,262,600,6923,6945,,,,,,,,,,,,,,,,,,,,,
1,428,637,6926,6937,,,,,,,,,,,,,,,,,,,,,
1,637,428,6926,6937,,,,,,,,,,,,,,,,,,,,,
