Location,Ant_ID,Ant_ID_(partner),start_time,end_time,,,,,,
1,494,298,12539,12756,,,,,,
1,15,174,12622,12637,,,,,,
1,174,15,12622,12637,,,,,,
1,267,448,12658,12662,,,,,,
1,448,267,12658,12662,,,,,,
1,598,15,12671,12690,,,,,,
1,15,598,12671,12690,,,,,,
1,36,533,12671,12704,,,,,,
1,533,36,12671,12704,,,,,,
1,174,598,12710,12776,,,,,,
1,598,174,12710,12776,,,,,,
1,36,561,12730,12755,,,,,,
1,561,36,12730,12755,,,,,,
1,36,561,12771,13010,,,,,,
1,561,36,12771,13010,,,,,,
1,174,598,12778,12889,,,,,,
1,598,174,12778,12889,,,,,,
1,533,646,12802,12815,,,,,,
1,646,533,12802,12815,,,,,,
1,77,324,12853,12944,,,,,,
1,324,77,12853,12944,,,,,,
1,494,298,12964,13085,,,,,,
1,298,494,12964,13085,,,,,,
1,324,77,12983,13026,,,,,,
1,77,324,12983,13026,,,,,,
1,36,539,13082,13711,,,,,,
1,539,36,13082,13711,,,,,,
1,764,291,13206,13712,,,,,,
1,291,764,13206,13712,,,,,,
1,598,571,13265,13377,,,,,,
1,571,598,13265,13377,,,,,,
1,15,q,13281,13288,,,,,,
1,q,15,13281,13288,,,,,,
1,33,q,13421,13438,,,,,,
1,q,33,13421,13438,,,,,,
1,598,571,13559,13703,,,,,,
1,571,598,13559,13703,,,,,,
1,291,764,13715,13719,,,,,,
1,764,291,13715,13719,,,,,,
1,36,539,13721,13808,,,,,,
1,539,36,13721,13808,,,,,,
1,291,764,13726,13730,,,,,,
1,764,291,13726,13730,,,,,,
1,291,764,13758,14400,,,,,,
1,764,291,13758,14400,,,,,,
1,36,533,13886,13987,,,,,,
1,533,36,13886,13987,,,,,,
1,353,598,13898,13979,,,,,,
1,598,353,13898,13979,,,,,,
1,43,291,13912,13932,,,,,,
1,43,764,13912,13932,,,,,,
1,291,43,13912,13932,,,,,,
1,764,43,13912,13932,,,,,,
1,77,797,13922,13925,,,,,,
1,797,77,13922,13925,,,,,,
1,298,324,13929,14400,,,,,,
1,324,298,13929,14400,,,,,,
1,797,298,13936,13951,,,,,,
1,797,324,13936,13951,,,,,,
1,298,797,13936,13951,,,,,,
1,324,797,13936,13951,,,,,,
1,36,533,14005,14051,,,,,,
1,533,36,14005,14051,,,,,,
1,128,539,14328,14400,,,,,,
1,539,128,14328,14400,,,,,,
1,1,428,14376,14395,,,,,,
1,428,1,14376,14395,,,,,,
2,334,633,12390,12410,,,,,,
2,633,334,12390,12410,,,,,,
2,161,797,12437,12444,,,,,,
2,797,161,12437,12444,,,,,,
2,334,758,12453,12459,,,,,,
2,758,334,12453,12459,,,,,,
2,758,633,12506,12544,,,,,,
2,633,758,12506,12544,,,,,,
4,671,66,0,217,,,,,,
4,66,671,0,217,,,,,,
4,796,109,1,97,,,,,,
4,109,796,1,97,,,,,,
4,495,199,26,71,,,,,,
4,199,495,26,71,,,,,,
4,671,796,271,319,,,,,,
4,796,671,271,319,,,,,,
4,671,495,336,344,,,,,,
4,495,671,336,344,,,,,,
4,671,42,380,540,,,,,,
4,42,671,380,540,,,,,,
4,397,671,550,584,,,,,,
4,671,397,550,584,,,,,,
4,397,671,592,597,,,,,,
4,671,397,592,597,,,,,,
4,758,671,621,772,,,,,,
4,671,758,621,772,,,,,,
4,397,565,693,862,,,,,,
4,565,397,693,862,,,,,,
4,758,671,823,906,,,,,,
4,671,758,823,906,,,,,,
4,570,161,928,933,,,,,,
4,161,570,928,933,,,,,,
4,671,495,975,1011,,,,,,
4,495,671,975,1011,,,,,,
4,671,495,1021,1074,,,,,,
4,495,671,1021,1074,,,,,,
4,671,109,1131,1160,,,,,,
4,109,671,1131,1160,,,,,,
4,671,565,1238,1246,,,,,,
4,565,671,1238,1246,,,,,,
4,424,565,1281,1284,,,,,,
4,565,424,1281,1284,,,,,,
4,108,796,1376,1421,,,,,,
4,796,108,1376,1421,,,,,,
4,424,565,1426,1441,,,,,,
4,565,424,1426,1441,,,,,,
4,671,108,1450,1570,,,,,,
4,108,671,1450,1570,,,,,,
4,429,698,1454,1457,,,,,,
4,698,429,1454,1457,,,,,,
4,796,428,1493,1495,,,,,,
4,428,796,1493,1495,,,,,,
4,495,698,1515,1528,,,,,,
4,698,495,1515,1528,,,,,,
4,495,428,1557,1609,,,,,,
4,428,495,1557,1609,,,,,,
4,495,796,1668,1670,,,,,,
4,796,495,1668,1670,,,,,,
4,495,796,1679,1931,,,,,,
4,796,495,1679,1931,,,,,,
4,790,199,1750,1794,,,,,,
4,199,790,1750,1794,,,,,,
4,671,565,1752,1773,,,,,,
4,565,671,1752,1773,,,,,,
4,790,199,1805,1810,,,,,,
4,199,790,1805,1810,,,,,,
4,671,424,1824,1829,,,,,,
4,424,671,1824,1829,,,,,,
4,790,594,1825,2362,,,,,,
4,594,790,1825,2362,,,,,,
4,109,108,1833,1857,,,,,,
4,108,109,1833,1857,,,,,,
4,108,109,1863,2020,,,,,,
4,109,108,1863,2020,,,,,,
4,758,397,1873,1885,,,,,,
4,397,758,1873,1885,,,,,,
4,758,397,1892,1924,,,,,,
4,397,758,1892,1924,,,,,,
4,758,397,1940,2061,,,,,,
4,397,758,1940,2061,,,,,,
4,495,796,1942,2004,,,,,,
4,796,495,1942,2004,,,,,,
4,424,565,1967,1984,,,,,,
4,565,424,1967,1984,,,,,,
4,66,702,1976,1986,,,,,,
4,702,66,1976,1986,,,,,,
4,495,796,2030,2125,,,,,,
4,796,495,2030,2125,,,,,,
4,106,108,2047,2476,,,,,,
4,108,106,2047,2476,,,,,,
4,397,758,2249,2544,,,,,,
4,758,397,2249,2544,,,,,,
4,495,424,2258,2285,,,,,,
4,424,495,2258,2285,,,,,,
4,594,790,2398,2400,,,,,,
4,790,594,2398,2400,,,,,,
4,790,199,2471,2525,,,,,,
4,199,790,2471,2525,,,,,,
4,570,594,2548,2811,,,,,,
4,594,570,2548,2811,,,,,,
4,428,106,2606,2621,,,,,,
4,106,428,2606,2621,,,,,,
4,161,758,2622,2624,,,,,,
4,758,161,2622,2624,,,,,,
4,698,428,2645,2848,,,,,,
4,428,698,2645,2848,,,,,,
4,397,657,2646,2792,,,,,,
4,657,397,2646,2792,,,,,,
4,161,758,2647,2659,,,,,,
4,758,161,2647,2659,,,,,,
4,424,76,2671,2896,,,,,,
4,76,424,2671,2896,,,,,,
4,109,108,2768,3116,,,,,,
4,108,109,2768,3116,,,,,,
4,428,657,2902,2908,,,,,,
4,657,428,2902,2908,,,,,,
4,758,594,2949,3127,,,,,,
4,594,758,2949,3127,,,,,,
4,758,594,3134,3157,,,,,,
4,594,758,3134,3157,,,,,,
4,106,108,3144,3200,,,,,,
4,108,106,3144,3200,,,,,,
4,758,594,3166,3170,,,,,,
4,594,758,3166,3170,,,,,,
4,758,594,3176,3253,,,,,,
4,594,758,3176,3253,,,,,,
4,42,702,3222,3237,,,,,,
4,702,42,3222,3237,,,,,,
4,108,119,3227,3236,,,,,,
4,119,108,3227,3236,,,,,,
4,630,76,3234,3398,,,,,,
4,76,630,3234,3398,,,,,,
4,698,702,3262,3330,,,,,,
4,702,698,3262,3330,,,,,,
4,199,108,3269,3274,,,,,,
4,108,199,3269,3274,,,,,,
4,758,101,3281,3284,,,,,,
4,101,758,3281,3284,,,,,,
4,758,594,3332,3341,,,,,,
4,594,758,3332,3341,,,,,,
4,166,108,3337,3734,,,,,,
4,108,166,3337,3734,,,,,,
4,698,702,3357,3362,,,,,,
4,702,698,3357,3362,,,,,,
4,758,790,3411,3424,,,,,,
4,790,758,3411,3424,,,,,,
4,758,790,3444,3870,,,,,,
4,790,758,3444,3870,,,,,,
4,42,495,3475,3772,,,,,,
4,495,42,3475,3772,,,,,,
4,397,657,3493,3736,,,,,,
4,657,397,3493,3736,,,,,,
4,424,495,3814,3824,,,,,,
4,495,424,3814,3824,,,,,,
4,594,108,3817,3929,,,,,,
4,108,594,3817,3929,,,,,,
4,128,756,3872,4228,,,,,,
4,756,128,3872,4228,,,,,,
4,758,790,3879,3902,,,,,,
4,790,758,3879,3902,,,,,,
4,765,594,3958,4393,,,,,,
4,594,765,3958,4393,,,,,,
4,758,790,3975,3977,,,,,,
4,790,758,3975,3977,,,,,,
4,657,397,3975,4204,,,,,,
4,397,657,3975,4204,,,,,,
4,758,790,3979,4156,,,,,,
4,790,758,3979,4156,,,,,,
4,161,790,4355,4682,,,,,,
4,790,161,4355,4682,,,,,,
4,756,106,4487,4836,,,,,,
4,106,756,4487,4836,,,,,,
4,424,698,4803,4848,,,,,,
4,698,424,4803,4848,,,,,,
4,424,698,4852,4870,,,,,,
4,698,424,4852,4870,,,,,,
4,424,106,4970,4974,,,,,,
4,106,424,4970,4974,,,,,,
4,109,106,5029,5418,,,,,,
4,106,109,5029,5418,,,,,,
4,42,796,5040,5047,,,,,,
4,796,42,5040,5047,,,,,,
4,108,790,5146,5318,,,,,,
4,790,108,5146,5318,,,,,,
4,119,698,5622,5624,,,,,,
4,698,119,5622,5624,,,,,,
4,76,702,5638,5790,,,,,,
4,702,76,5638,5790,,,,,,
4,119,698,5642,5783,,,,,,
4,698,119,5642,5783,,,,,,
4,42,565,5741,5888,,,,,,
4,565,42,5741,5888,,,,,,
4,76,128,5805,5874,,,,,,
4,128,76,5805,5874,,,,,,
4,702,397,5851,5875,,,,,,
4,397,702,5851,5875,,,,,,
4,657,702,5903,5958,,,,,,
4,702,657,5903,5958,,,,,,
4,428,397,6042,6094,,,,,,
4,397,428,6042,6094,,,,,,
4,702,790,6047,6067,,,,,,
4,790,702,6047,6067,,,,,,
4,702,790,6078,6103,,,,,,
4,790,702,6078,6103,,,,,,
4,671,108,6109,6162,,,,,,
4,108,671,6109,6162,,,,,,
4,702,790,6111,6145,,,,,,
4,790,702,6111,6145,,,,,,
4,428,796,6122,6126,,,,,,
4,796,428,6122,6126,,,,,,
4,702,790,6162,6346,,,,,,
4,790,702,6162,6346,,,,,,
4,671,758,6172,6494,,,,,,
4,758,671,6172,6494,,,,,,
4,698,428,6266,6295,,,,,,
4,428,698,6266,6295,,,,,,
4,702,790,6365,6374,,,,,,
4,790,702,6365,6374,,,,,,
4,702,790,6421,6476,,,,,,
4,790,702,6421,6476,,,,,,
4,702,790,6481,6764,,,,,,
4,790,702,6481,6764,,,,,,
4,565,758,6556,6873,,,,,,
4,758,565,6556,6873,,,,,,
4,594,671,6622,6689,,,,,,
4,671,594,6622,6689,,,,,,
4,702,790,6807,6864,,,,,,
4,790,702,6807,6864,,,,,,
4,397,428,6818,6832,,,,,,
4,428,397,6818,6832,,,,,,
4,428,42,6842,6942,,,,,,
4,42,428,6842,6942,,,,,,
4,702,790,6871,7056,,,,,,
4,790,702,6871,7056,,,,,,
4,161,671,6883,6891,,,,,,
4,671,161,6883,6891,,,,,,
4,796,202,6888,6912,,,,,,
4,202,796,6888,6912,,,,,,
4,698,128,6906,6911,,,,,,
4,128,698,6906,6911,,,,,,
4,128,698,6917,6977,,,,,,
4,698,128,6917,6977,,,,,,
4,765,758,6921,7026,,,,,,
4,758,765,6921,7026,,,,,,
4,128,698,6996,7029,,,,,,
4,698,128,6996,7029,,,,,,
4,109,702,7070,7278,,,,,,
4,702,109,7070,7278,,,,,,
4,671,790,7083,7118,,,,,,
4,790,671,7083,7118,,,,,,
4,76,758,7229,7239,,,,,,
4,758,76,7229,7239,,,,,,
4,702,109,7292,7388,,,,,,
4,109,702,7292,7388,,,,,,
4,397,671,7421,7743,,,,,,
4,671,397,7421,7743,,,,,,
4,758,765,7423,7488,,,,,,
4,765,758,7423,7488,,,,,,
4,790,796,7448,7777,,,,,,
4,796,790,7448,7777,,,,,,
4,758,765,7500,7609,,,,,,
4,765,758,7500,7609,,,,,,
4,495,66,7629,7703,,,,,,
4,66,495,7629,7703,,,,,,
4,495,66,7706,7729,,,,,,
4,66,495,7706,7729,,,,,,
4,594,66,7753,7764,,,,,,
4,66,594,7753,7764,,,,,,
4,594,66,7774,7787,,,,,,
4,66,594,7774,7787,,,,,,
4,594,66,7802,7811,,,,,,
4,66,594,7802,7811,,,,,,
4,657,66,7821,7832,,,,,,
4,66,657,7821,7832,,,,,,
4,790,202,7822,7877,,,,,,
4,202,790,7822,7877,,,,,,
4,657,671,7843,7859,,,,,,
4,671,657,7843,7859,,,,,,
4,428,66,7852,7863,,,,,,
4,66,428,7852,7863,,,,,,
4,657,66,7905,7997,,,,,,
4,66,657,7905,7997,,,,,,
4,790,698,7946,7952,,,,,,
4,698,790,7946,7952,,,,,,
4,428,657,8011,8036,,,,,,
4,657,428,8011,8036,,,,,,
4,790,128,8013,8887,,,,,,
4,128,790,8013,8887,,,,,,
4,796,66,8015,8338,,,,,,
